tesperaatracacao,
104,8.6666666666279,3
105,17.833333333314,2
106,5.7499999998836,2
107,15.083333333256,1
108,1.2500000000582,3
109,8.1666666667443,2
110,17.666666666628,1
111,7.8333333331975,2
112,0.91666666668607,2
113,6.6666666667443,4
114,9.2499999999418,3
115,0.99999999994179,5
116,14.916666666744,3
117,2.0000000000582,5
118,10.083333333372,2
119,0.83333333325572,5
120,4.6666666666861,6
121,1.0833333333721,4
122,7.3333333333139,3
123,36.083333333256,1
124,9.0833333334303,1
125,15.166666666686,1
126,19.999999999884,1
127,20.083333333314,1
128,11.333333333256,2
129,2.7500000000582,3
130,14.25,3
131,21.166666666686,3
132,8.0833333333139,1
133,9.75,2
134,6.9999999999418,2
135,6.6666666665697,3
136,4.9166666666279,2
137,3,6
138,5.4166666666861,2
139,78.75,1
140,12.083333333256,2
141,2.5833333333721,5
142,4.5833333332557,3
143,5.6666666668025,2
144,1.9166666668025,1
145,3.5000000000582,4
146,19.5,3
147,35.083333333314,1
148,31.833333333372,1
149,13.749999999942,2
150,10.5,7
151,11.749999999884,1
152,4.7500000001164,3
153,21.083333333256,1
154,5.8333333333139,4
155,7.0833333331975,1
156,46.58333333343,1
157,45.833333333256,1
158,22.41666666657,1
159,8.4999999999418,2
160,4.2499999998836,1
161,16.749999999942,1
162,5.25,2
163,2.3333333332557,2
164,26.499999999942,1
165,12.916666666686,2
166,3.4166666666279,4
167,3.1666666665114,2
168,20.333333333256,1
169,32.333333333256,1
170,10.400000000023,1
171,9.5833333333139,2
172,66.916666666686,1
173,10.083333333198,1
174,11.583333333372,1
175,34.166666666628,1
176,5.5833333333721,1
177,58.833333333198,1
178,0.41666666662786,3
179,0.25000000011642,6
180,91.833333333372,1
181,4.1666666668025,3
182,8.4166666666861,1
183,6.9166666666861,1
184,9.9166666666861,1
185,6.75,2
186,3.5833333333139,4
187,12.333333333372,3
188,11.416666666686,1
189,83.416666666511,1
190,9.3333333333721,3
191,11.166666666744,2
192,10.333333333314,1
193,10.666666666686,1
194,3.6666666667443,2
195,4.4166666667443,2
196,6.8333333332557,3
197,17.500000000116,1
198,8.5000000001164,1
199,32.499999999942,1
200,29.750000000058,1
201,19.916666666628,2
202,6.2499999999418,1
203,27.166666666686,1
204,6.3333333333721,3
205,10.749999999942,1
206,3.8333333334303,2
207,0.33333333337214,4
208,16.916666666628,1
209,18.999999999942,1
210,23.500000000116,1
211,3.3333333333721,3
212,39.416666666628,1
213,48.666666666744,1
214,20.25,1
215,25.083333333372,1
216,3.8333333332557,4
217,4.2500000000582,3
218,25.41666666657,1
219,10.416666666744,1
220,13.166666666628,1
221,7.5833333334303,1
222,5.9166666665697,2
223,25.916666666628,1
224,18.833333333256,1
225,13.333333333314,2
226,15.583333333314,1
227,32.083333333314,3
228,5.5000000001164,3
229,24.08333333343,1
230,8.25,2
231,21.166666666511,1
232,16.666666666686,1
233,2.9166666665697,3
234,2.6666666668025,3
235,9.1666666666861,5
236,26.416666666686,2
237,2.25,5
238,7.0833333333721,1
239,7.6666666665114,1
240,14.083333333314,3
241,66.083333333256,1
242,14.000000000058,2
243,7.1666666668025,1
244,11.000000000058,1
245,58.250000000058,1
246,5.3333333332557,3
247,5.6666666666279,3
248,4.1666666666279,1
249,8.1666666665697,2
250,0.33333333319752,5
251,17.91666666657,1
252,9,3
253,28.333333333314,1
254,5.0833333333139,3
255,13.5,3
256,15.666666666744,1
257,4.9999999998836,1
258,1.4166666665697,3
259,2.5000000001164,1
260,4.0833333331975,3
261,0.66666666674428,1
262,10.166666666628,1
263,0.41666666680248,2
264,1.3333333333139,2
265,4.5833333334303,2
266,4.8333333333721,3
267,2.6666666666279,3
268,14.833333333489,1
269,8.8333333333139,3
270,14.333333333256,1
271,34.833333333372,1
272,4.3333333333139,3
273,1.4166666667443,2
274,20.000000000058,1
275,9.4166666666279,1
276,13.666666666686,1
277,58.000000000116,1
278,12,1
279,7.9166666666279,1
280,23.833333333314,2
281,104.83333333331,1
282,21.916666666686,1
283,18.500000000058,1
284,3.75,1
285,14.416666666686,2
286,25.5,2
287,3.0833333334303,1
288,3.1666666666861,2
289,0.50000000005821,5
290,59.33333333343,1
291,6.4999999998836,1
292,26.833333333314,1
293,0.66666666656965,3
294,1.7499999999418,1
295,41.166666666744,1
296,1.8333333331975,1
297,17.916666666744,1
298,7.2499999998836,3
299,20.750000000058,2
300,15.999999999942,1
301,23.416666666686,1
302,5.1666666665697,2
303,11.33333333343,1
304,64.083333333372,1
305,46.333333333314,1
306,13.750000000116,1
307,14.666666666802,1
308,16.166666666628,1
309,20.166666666744,1
310,25.916666666802,1
311,11.750000000058,2
312,7.9166666668025,1
313,12.500000000058,1
314,19.41666666657,1
315,16.416666666744,1
316,2.7499999998836,2
317,47.499999999942,1
318,2.9166666667443,1
319,12.666666666744,1
320,66.666666666744,1
321,49.416666666744,1
322,5.3333333334303,1
323,8.3333333334303,1
324,11.833333333314,3
325,24,3
326,25.666666666686,1
327,10.999999999884,1
328,20.583333333372,1
329,7.6666666666861,2
330,27.666666666744,1
331,23.33333333343,1
332,33.999999999942,1
333,10.666666666511,1
334,15.75,1
335,57,1
336,5.1666666667443,2
337,11.25,1
338,47.16666666657,1
339,3.4999999998836,2
340,38.583333333372,1
341,10.000000000116,2
342,18.250000000116,1
343,22.166666666628,1
344,10.916666666802,1
345,17.833333333489,1
346,63.916666666686,1
347,72.166666666686,1
348,60.166666666686,1
349,15.499999999884,1
350,11.083333333314,2
351,8.0000000000582,1
352,12.66666666657,1
353,15.833333333256,1
354,6.3333333331975,1
355,8.9166666667443,1
356,9.6666666665697,2
357,31.416666666744,1
358,11.500000000116,1
359,12.166666666686,1
360,25.166666666802,1
361,3.3333333331975,2
362,6,1
363,38.916666666744,1
364,19.333333333314,1
365,29.166666666744,1
366,14.500000000116,1
367,77.000000000058,1
368,27.916666666686,1
369,17.33333333343,1
370,18.166666666686,1
371,1.1666666668025,1
372,15,1
373,10.916666666628,1
374,13.333333333489,1
375,14.91666666657,1
376,84.416666666628,1
377,17.166666666744,1
378,58.5,1
379,25.833333333372,1
380,42.75,1
381,22.666666666686,1
382,15.500000000058,1
383,1.5833333332557,2
384,71.083333333314,1
385,1.3333333334886,1
386,15.416666666802,1
387,19.58333333343,1
388,1.9166666666279,2
389,16.583333333256,1
390,14.499999999942,1
391,6.5833333333139,1
392,36.500000000058,1
393,0.83333333343035,1
394,17.25,1
395,45.583333333314,1
396,47.166666666744,1
397,77.499999999942,1
398,1.2499999998836,1
399,31.583333333256,1
400,15.333333333372,1
401,3.0833333332557,1
402,17.000000000058,3
403,61.416666666744,1
404,30.500000000058,1
405,13.41666666657,1
406,47.083333333314,1
407,27.333333333198,1
408,12.583333333314,1
409,7.2500000000582,1
410,25.749999999942,1
411,24.333333333372,1
412,12.08333333343,1
413,41.833333333314,1
414,2.1666666667443,1
415,2.5833333331975,1
416,9.0833333332557,1
417,7.0000000001164,1
418,4.6666666665114,1
419,48.08333333343,1
420,24.500000000058,1
