tatracado,
150,20.666666666628,1
151,10.416666666744,1
152,8.9166666667443,1
153,6.2500000001164,1
154,5.0000000000582,8
155,13.083333333372,1
156,30.08333333343,1
157,3.6666666667443,8
158,8.0000000000582,4
159,8.6666666668025,1
160,8.5000000001164,2
161,7.1666666668025,5
162,17.083333333314,2
163,9.2500000001164,1
164,7.3333333333139,6
165,7.9166666666279,3
166,8.0833333333139,3
167,8.8333333333139,2
168,5.3333333334303,7
169,6.1666666665114,2
170,7.4166666667443,3
171,16.5,3
172,11.083333333314,1
173,3.9999999999418,6
174,17.166666666744,1
175,5.1666666667443,5
176,20.583333333372,1
177,9.0833333332557,2
178,6.4999999998836,2
179,7.6666666666861,3
180,10.58333333343,1
181,5.9166666667443,4
182,12.499999999884,1
183,10.5,4
184,14.083333333314,1
185,12.666666666744,1
186,36.66666666657,1
187,4.0833333331975,4
188,7.5833333332557,6
189,5.4166666666861,13
190,15.083333333256,1
191,2.5833333331975,1
192,7.0000000001164,1
193,11.91666666657,1
194,3.6666666665697,4
195,2.1666666665697,1
196,12.916666666686,2
197,10.833333333372,2
198,7.2499999998836,5
199,6.8333333332557,8
200,8.7500000000582,3
201,4.7500000001164,7
202,8.3333333332557,3
203,5.4999999999418,7
204,2.3333333332557,2
205,2.4999999999418,5
206,4.9999999998836,3
207,9.9166666666861,2
208,9.5833333333139,1
209,9.8333333334303,2
210,6.9166666665114,3
211,5.0833333334886,2
212,8.5833333331975,3
213,15.83333333343,1
214,4.6666666666861,10
215,6.3333333331975,1
216,16.000000000116,1
217,9.4166666668025,3
218,17.333333333256,1
219,16.583333333256,2
220,11.416666666511,1
221,9.0833333334303,2
222,9.4999999998836,1
223,3.4999999998836,9
224,9.5833333334886,2
225,5.1666666665697,4
226,6.8333333334303,1
227,24.499999999884,1
228,11.499999999942,1
229,13.666666666686,1
230,8.1666666665697,1
231,13.249999999884,1
232,10.083333333198,1
233,10.249999999884,1
234,10.333333333314,1
235,8.4166666665114,1
236,15.416666666628,1
237,58.083333333198,1
238,16.416666666744,1
239,7.4166666665697,2
240,9.9166666665114,1
241,14.833333333314,2
242,15.75,1
243,8.3333333334303,3
244,8.0833333334886,1
245,16.333333333314,1
246,10.583333333256,1
247,3.2500000001164,3
248,10.083333333372,2
249,4.0000000001164,3
250,23.416666666686,1
251,4.1666666668025,1
252,22.000000000116,1
253,29.083333333314,1
254,10.41666666657,1
255,11.583333333198,1
256,7.6666666665114,1
257,6.6666666667443,2
258,37.083333333198,1
259,48.916666666686,1
260,30,1
261,9.75,1
262,13.416666666744,1
263,6.5833333334886,1
264,7.7499999999418,1
265,14.33333333343,1
